index,station,network
0,SAML,IU
1,NNA,II
2,LPAZ,GT
3,PB18,CX
4,PB16,CX
5,AP01,C1
6,PB12,CX
7,AP02,C1
8,PX02,CX
9,MNMCX,CX
10,PSGCX,CX
11,GO01,C
12,PB11,CX
13,PB08,CX
14,TA02,C1
15,HMBCX,CX
16,PX03,CX
17,TA01,C1
18,PATCX,CX
19,PB01,CX
20,PB02,CX
21,PB07,CX
22,PB09,CX
23,PB03,CX
24,PB04,CX
25,LVC,IU
26,PB06,CX
27,PB05,CX
28,AF01,C1
29,PB15,CX
30,PX06,CX
31,PB10,CX
32,PB19,CX
33,PB14,CX
34,GO02,C
35,AC01,C1
36,CPUP,GT
37,AC02,C1
38,RPN,II
39,AC07,C1
40,VA02,C1
41,AC06,C1
42,GO03,C
43,AC04,C1
44,AC05,C1
45,CO10,C1
46,CO05,C1
47,CO01,C1
48,GO04,C
49,CO06,C1
50,CO03,C1
51,CO02,C1
52,ZON,WA
53,CO04,C1
54,VA06,C1
55,VA03,C1
56,ROC1,C
57,MT07,C1
58,VA01,C1
59,PEL,G
60,V25A,C1
61,MT02,C1
62,MT10,C1
63,FAR1,C
64,MT05,C1
65,MT14,C1
66,MT08,C1
67,MT16,C1
68,MT18,C1
69,MT04,C1
70,MT03,C1
71,MT15,C1
72,VA04,C1
73,VA05,C1
74,MT12,C1
75,MT13,C1
76,MT09,C1
77,LMEL,C
78,MT01,C1
79,BO04,C1
80,BO01,C1
81,BO03,C1
82,BO02,C1
83,GO05,C
84,ML03,C1
85,ML02,C1
86,BI06,C1
87,BI02,C1
88,BI05,C1
89,BI03,C1
90,CCSP,C
91,BI07,C1
92,TRQA,IU
93,BI04,C1
94,LC02,C1
95,LC01,C1
96,LC09,C1
97,GO06,C
98,LR03,C1
99,LR02,C1
100,LR04,C1
101,LR05,C1
102,PLCA,GT
103,LL04,C1
104,LL03,C1
105,LL05,C1
106,LL06,C1
107,LL01,C1
108,LL07,C1
109,GO07,C
110,LL02,C1
111,AY01,C1
112,AY05,C1
113,AY02,C1
114,AY04,C1
115,AY03,C1
116,AY06,C1
117,GO08,C
118,GO09,C
119,EFI,II
120,MG05,C1
121,MG02,C1
122,MG04,C1
123,GO10,C
124,MG03,C1
125,HOPE,II
126,MG01,C1
127,IN43,C1
128,IN44,C1
